DrawDate,LottoType,DrawSystemId,TicketPrice,WinPoolCount1,WinPoolAmount1,WinPoolCount2,WinPoolAmount2,WinPoolCount3,WinPoolAmount3,WinPoolCount4,WinPoolAmount4,Number1,Number2,Number3,Number4,Number5,Number6
2025-12-02,Lotto,7283,3,,,,,,,,,3,9,29,30,32,47
2025-11-29,Lotto,7281,3,,,,,,,,,3,23,28,31,42,46
2025-11-27,Lotto,7280,3,,,,,,,,,27,33,38,43,45,47
2025-11-25,Lotto,7279,3,,,,,,,,,3,9,26,31,42,44
2025-11-22,Lotto,7278,3,,,,,,,,,8,22,31,43,45,49
2025-11-20,Lotto,7277,3,,,,,,,,,9,19,20,22,27,44
2025-11-18,Lotto,7276,3,,,,,,,,,7,13,22,30,38,39
2025-11-15,Lotto,7275,3,,,,,,,,,2,12,19,32,39,44
2025-11-13,Lotto,7274,3,,,,,,,,,1,18,31,37,42,43
2025-11-11,Lotto,7273,3,,,,,,,,,1,5,14,26,46,47
2025-11-08,Lotto,7272,3,,,,,,,,,7,10,20,30,35,39
2025-11-06,Lotto,7271,3,,,,,,,,,20,29,33,34,39,42
2025-11-04,Lotto,7270,3,,,,,,,,,4,23,34,37,45,46
2025-11-01,Lotto,7269,3,,,,,,,,,8,14,15,28,40,46
2025-10-30,Lotto,7268,3,,,,,,,,,3,10,15,30,31,49
2025-10-28,Lotto,7267,3,,,,,,,,,18,22,27,31,34,47
2025-10-25,Lotto,7266,3,,,,,,,,,11,20,21,27,39,46
2025-10-23,Lotto,7265,3,,,,,,,,,8,11,18,26,45,49
2025-10-21,Lotto,7264,3,,,,,,,,,11,15,19,27,28,45
2025-10-18,Lotto,7263,3,,,,,,,,,4,13,14,16,38,47
2025-10-16,Lotto,7262,3,,,,,,,,,6,7,17,30,39,49
2025-10-14,Lotto,7261,3,,,,,,,,,7,15,17,20,36,48
2025-10-11,Lotto,7260,3,,,,,,,,,10,32,34,36,43,45
2025-10-09,Lotto,7259,3,,,,,,,,,17,18,31,36,42,43
2025-10-07,Lotto,7258,3,,,,,,,,,3,7,21,27,32,45
2025-10-04,Lotto,7257,3,,,,,,,,,10,12,29,37,39,45
