DrawDate,LottoType,DrawSystemId,TicketPrice,WinPoolCount1,WinPoolAmount1,WinPoolCount2,WinPoolAmount2,WinPoolCount3,WinPoolAmount3,WinPoolCount4,WinPoolAmount4,Number1,Number2,Number3,Number4,Number5,Number6
2025-12-02,LottoPlus,7282,,,,,,,,,,8,14,17,21,24,40
2025-11-29,LottoPlus,7281,,,,,,,,,,1,6,15,17,26,33
2025-11-27,LottoPlus,7280,,,,,,,,,,2,16,17,29,38,46
2025-11-25,LottoPlus,7279,,,,,,,,,,3,8,14,26,42,45
2025-11-22,LottoPlus,7278,,,,,,,,,,5,6,17,28,42,49
2025-11-20,LottoPlus,7277,,,,,,,,,,1,2,12,16,31,38
2025-11-18,LottoPlus,7276,,,,,,,,,,1,14,18,38,43,48
2025-11-15,LottoPlus,7275,,,,,,,,,,11,15,18,34,36,45
2025-11-13,LottoPlus,7274,,,,,,,,,,9,11,15,23,28,49
2025-11-11,LottoPlus,7273,,,,,,,,,,5,6,23,25,27,49
2025-11-08,LottoPlus,7272,,,,,,,,,,20,23,28,33,45,48
2025-11-06,LottoPlus,7271,,,,,,,,,,3,12,31,36,39,46
2025-11-04,LottoPlus,7270,,,,,,,,,,15,17,18,23,43,46
2025-11-01,LottoPlus,7269,,,,,,,,,,2,9,22,33,35,47
2025-10-30,LottoPlus,7268,,,,,,,,,,5,24,26,30,37,47
2025-10-28,LottoPlus,7267,,,,,,,,,,5,6,10,20,25,49
2025-10-25,LottoPlus,7266,,,,,,,,,,4,8,19,23,28,33
2025-10-23,LottoPlus,7265,,,,,,,,,,15,19,22,25,39,42
2025-10-21,LottoPlus,7264,,,,,,,,,,1,3,25,29,36,40
2025-10-18,LottoPlus,7263,,,,,,,,,,11,12,18,22,31,48
2025-10-16,LottoPlus,7262,,,,,,,,,,9,22,23,24,30,44
2025-10-14,LottoPlus,7261,,,,,,,,,,5,15,26,27,29,30
2025-10-11,LottoPlus,7260,,,,,,,,,,13,20,23,39,44,49
2025-10-09,LottoPlus,7259,,,,,,,,,,1,3,8,11,18,35
2025-10-07,LottoPlus,7258,,,,,,,,,,4,8,10,22,33,47
2025-10-04,LottoPlus,7257,,,,,,,,,,13,17,22,25,26,48
2025-10-02,LottoPlus,7256,,,,,,,,,,1,8,26,27,37,39
2025-09-30,LottoPlus,7255,,,,,,,,,,9,15,16,22,29,40
2025-09-27,LottoPlus,7254,,,,,,,,,,12,19,27,42,43,48
2025-09-25,LottoPlus,7253,,,,,,,,,,1,8,36,47,48,49
2025-09-23,LottoPlus,7252,,,,,,,,,,9,13,21,37,39,49
2025-09-20,LottoPlus,7251,,,,,,,,,,15,16,17,29,46,49
2025-09-18,LottoPlus,7250,,,,,,,,,,13,21,24,34,40,42
2025-09-16,LottoPlus,7249,,,,,,,,,,9,12,14,37,39,49
2025-09-13,LottoPlus,7248,,,,,,,,,,12,19,30,34,43,45
2025-09-11,LottoPlus,7247,,,,,,,,,,1,5,13,30,37,40
2025-09-09,LottoPlus,7246,,,,,,,,,,9,14,24,29,40,41
2025-09-06,LottoPlus,7245,,,,,,,,,,4,5,12,23,40,43
2025-09-04,LottoPlus,7244,,,,,,,,,,1,4,16,22,27,31
2025-09-02,LottoPlus,7243,,,,,,,,,,8,13,21,33,34,36
2025-08-30,LottoPlus,7242,,,,,,,,,,2,12,14,16,20,21
2025-08-28,LottoPlus,7241,,,,,,,,,,2,4,11,26,29,34
