DrawDate,LottoType,DrawSystemId,TicketPrice,WinPoolCount1,WinPoolAmount1,WinPoolCount2,WinPoolAmount2,WinPoolCount3,WinPoolAmount3,WinPoolCount4,WinPoolAmount4,Number1,Number2,Number3,Number4,Number5,Number6
1957-01-27,Lotto,1,0.01,0,0.00,0,0.00,0,0.00,0,0.00,8,12,31,39,43,45
1957-02-03,Lotto,2,0.01,0,0.00,0,0.00,0,0.00,0,0.00,5,10,11,22,25,27
1957-02-10,Lotto,3,0.01,0,0.00,0,0.00,0,0.00,0,0.00,18,19,20,26,45,49
1957-02-17,Lotto,4,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,11,14,37,40,45
1957-02-24,Lotto,5,0.01,0,0.00,0,0.00,0,0.00,0,0.00,8,10,15,35,39,49
1957-03-03,Lotto,6,0.01,0,0.00,0,0.00,0,0.00,0,0.00,24,26,31,35,43,47
1957-03-10,Lotto,7,0.01,0,0.00,0,0.00,0,0.00,0,0.00,13,20,23,29,38,44
1957-03-17,Lotto,8,0.01,0,0.00,0,0.00,0,0.00,0,0.00,8,13,15,22,38,47
1957-03-24,Lotto,9,0.01,0,0.00,0,0.00,0,0.00,0,0.00,3,10,27,29,34,42
1957-03-31,Lotto,10,0.01,0,0.00,0,0.00,0,0.00,0,0.00,4,5,6,13,23,25
1957-04-07,Lotto,11,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,7,13,15,21,39
1957-04-14,Lotto,12,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,4,31,38,39,46
1957-04-28,Lotto,13,0.01,0,0.00,0,0.00,0,0.00,0,0.00,15,18,22,26,33,38
1957-05-05,Lotto,14,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,4,11,18,25,48
1957-05-12,Lotto,15,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,8,28,31,32,33
1957-05-19,Lotto,16,0.01,0,0.00,0,0.00,0,0.00,0,0.00,10,13,19,21,32,34
1957-05-26,Lotto,17,0.01,0,0.00,0,0.00,0,0.00,0,0.00,16,24,25,29,32,36
1957-06-02,Lotto,18,0.01,0,0.00,0,0.00,0,0.00,0,0.00,10,11,12,31,32,33
1957-06-09,Lotto,19,0.01,0,0.00,0,0.00,0,0.00,0,0.00,5,16,23,30,32,46
1957-06-16,Lotto,20,0.01,0,0.00,0,0.00,0,0.00,0,0.00,3,5,11,14,33,48
1957-06-23,Lotto,21,0.01,0,0.00,0,0.00,0,0.00,0,0.00,4,9,16,19,28,39
1957-06-30,Lotto,22,0.01,0,0.00,0,0.00,0,0.00,0,0.00,13,19,21,24,30,36
1957-07-07,Lotto,23,0.01,0,0.00,0,0.00,0,0.00,0,0.00,8,14,24,26,30,33
1957-07-14,Lotto,24,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,11,14,25,44,49
1957-07-21,Lotto,25,0.01,0,0.00,0,0.00,0,0.00,0,0.00,3,6,13,22,27,33
1957-07-28,Lotto,26,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,13,19,21,27,35
1957-08-04,Lotto,27,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,5,15,20,30,48
1957-08-11,Lotto,28,0.01,0,0.00,0,0.00,0,0.00,0,0.00,4,19,21,32,34,37
1957-08-18,Lotto,29,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,6,17,27,40,44
1957-08-25,Lotto,30,0.01,0,0.00,0,0.00,0,0.00,0,0.00,8,20,39,41,45,49
1957-09-01,Lotto,31,0.01,0,0.00,0,0.00,0,0.00,0,0.00,5,16,17,38,40,48
1957-09-08,Lotto,32,0.01,0,0.00,0,0.00,0,0.00,0,0.00,6,16,21,25,43,48
1957-09-15,Lotto,33,0.01,0,0.00,0,0.00,0,0.00,0,0.00,5,10,16,18,40,42
1957-09-22,Lotto,34,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,15,16,19,47,48
1957-09-29,Lotto,35,0.01,0,0.00,0,0.00,0,0.00,0,0.00,4,12,30,35,46,48
1957-10-06,Lotto,36,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,8,9,12,16,30
1957-10-13,Lotto,37,0.01,0,0.00,0,0.00,0,0.00,0,0.00,18,22,27,31,35,36
1957-10-20,Lotto,38,0.01,0,0.00,0,0.00,0,0.00,0,0.00,22,24,37,40,41,45
1957-10-27,Lotto,39,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,9,14,27,32,34
1957-11-03,Lotto,40,0.01,0,0.00,0,0.00,0,0.00,0,0.00,13,21,28,36,39,40
1957-11-10,Lotto,41,0.01,0,0.00,0,0.00,0,0.00,0,0.00,8,19,28,30,31,47
1957-11-17,Lotto,42,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,7,9,14,45,48
1957-11-24,Lotto,43,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,6,18,20,40,49
1957-12-01,Lotto,44,0.01,0,0.00,0,0.00,0,0.00,0,0.00,5,8,14,26,32,44
1957-12-08,Lotto,45,0.01,0,0.00,0,0.00,0,0.00,0,0.00,11,17,24,35,42,47
1957-12-15,Lotto,46,0.01,0,0.00,0,0.00,0,0.00,0,0.00,7,12,19,36,42,49
1957-12-22,Lotto,47,0.01,0,0.00,0,0.00,0,0.00,0,0.00,8,15,24,27,37,46
1958-01-05,Lotto,48,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,20,22,36,37,45
1958-01-12,Lotto,49,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,24,30,37,47,48
1958-01-19,Lotto,50,0.01,0,0.00,0,0.00,0,0.00,0,0.00,9,15,29,33,43,44
1958-01-26,Lotto,51,0.01,0,0.00,0,0.00,0,0.00,0,0.00,12,34,35,43,44,49
1958-02-02,Lotto,52,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,15,29,30,31,33
1958-02-09,Lotto,53,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,21,22,25,34,47
1958-02-16,Lotto,54,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,8,11,39,41,45
1958-02-23,Lotto,55,0.01,0,0.00,0,0.00,0,0.00,0,0.00,8,26,28,36,43,49
1958-03-02,Lotto,56,0.01,0,0.00,0,0.00,0,0.00,0,0.00,11,14,19,22,23,25
1958-03-09,Lotto,57,0.01,0,0.00,0,0.00,0,0.00,0,0.00,5,8,10,26,30,42
1958-03-16,Lotto,58,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,6,9,36,38,42
1958-03-23,Lotto,59,0.01,0,0.00,0,0.00,0,0.00,0,0.00,3,7,9,25,42,48
1958-03-30,Lotto,60,0.01,0,0.00,0,0.00,0,0.00,0,0.00,4,8,10,32,42,45
1958-04-13,Lotto,61,0.01,0,0.00,0,0.00,0,0.00,0,0.00,3,15,18,35,42,43
1958-04-20,Lotto,62,0.01,0,0.00,0,0.00,0,0.00,0,0.00,4,5,9,19,27,32
1958-04-27,Lotto,63,0.01,0,0.00,0,0.00,0,0.00,0,0.00,13,16,35,40,41,42
1958-05-04,Lotto,64,0.01,0,0.00,0,0.00,0,0.00,0,0.00,4,28,38,40,45,46
1958-05-11,Lotto,65,0.01,0,0.00,0,0.00,0,0.00,0,0.00,8,17,22,27,31,41
1958-05-18,Lotto,66,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,2,8,17,28,40
1958-05-25,Lotto,67,0.01,0,0.00,0,0.00,0,0.00,0,0.00,7,16,27,33,41,43
1958-06-01,Lotto,68,0.01,0,0.00,0,0.00,0,0.00,0,0.00,1,20,41,42,43,44
1958-06-08,Lotto,69,0.01,0,0.00,0,0.00,0,0.00,0,0.00,13,14,25,29,33,47
1958-06-15,Lotto,70,0.01,0,0.00,0,0.00,0,0.00,0,0.00,17,23,29,39,41,45
1958-06-22,Lotto,71,0.01,0,0.00,0,0.00,0,0.00,0,0.00,2,14,22,44,48,49
1958-06-29,Lotto,72,0.01,0,0.00,0,0.00,0,0.00,0,0.00,3,7,13,15,16,47
1958-07-06,Lotto,73,0.01,0,0.00,0,0.00,0,0.00,0,0.00,10,11,28,38,48,49
1958-07-13,Lotto,74,0.01,0,0.00,0,0.00,0,0.00,0,0.00,9,16,21,24,27,35
